Year (date),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),AWC Infrastructure Drinking Water Source (awc_infra_dws),AWC Infrastructure Fuctional Toilets (awc_infra_fun_toilets),AWC Infrastructure Own Building (awc_infra_own_buil),Aadhaar verified Beneficiaries (aadhar_verf_benf),Adolescent Girls (adolescent_girls),Anganwadi Centers Open For Atleast 1 Day (awc_open_1day),Anganwadi Centers Open For Atleast 21 Days (awc_open_21day),Anganwadi Workers (aww),Angwanwadi Centers (awc),Children (0-6 Months) (children_0_6_months),Children (3 - 6 Years) (children_3_6_years),Children (6 Months - 3 Years) (children_6months_3years),Children Attended AWC For Atleast 21 days (children_awc_21days),Children(3 - 6 Years) Non-school Going (children_3_6_years_nonschool),Children(3 - 6 Years) School Going (children_3_6_years_school),Eligible Beneficiaries (elgb_benef),Health ID Created (health_id_created),Hot Cooked Meal (HCM) Given For 1-6 Days (hcm_1_6days),Hot Cooked Meal (HCM) Given For 15-20 Days (hcm_15_20days),Hot Cooked Meal (HCM) Given For 7-14 Days (hcm_7_14days),Hot Cooked Meal (HCM) Given For Atleast 1 Day (hcm_atleast_1day),Hot Cooked Meal (HCM) Given For Atleast 15 Days (hcm_atleast_15days),Hot Cooked Meal (HCM) Given For Atleast 21 Days (hcm_atleast_21days),Lactating Mothers (lact_mothers),Pregnant Women (pregnant_women),Project (project),Sector (sector),Take Home Ration Given For Atleast 1 Day (thm_atleast_1day),Take Home Ration Given For Atleast 21 Days (thm_atleast_21days)
01-07-2023,Uttar Pradesh,9,Gonda,147,1388,1548,1239,378508,0,3079,2178,3042,0,14248,134154,178223,6674,130494,3660,383052,104,5221,593,1964,7914,729,136,18113,38314,17,109,188682,186415
01-05-2023,Uttar Pradesh,9,Moradabad,171,668,870,612,302167,0,2757,1980,2680,2770,15192,92087,149807,3761,90184,1903,303843,1139,4902,683,1686,7624,1036,353,18013,28744,9,151,142592,141434
01-07-2023,Andhra Pradesh,28,Y.s.r.,504,597,676,796,154304,0,3605,2026,3567,0,4808,74956,76634,19555,70708,4248,172836,2267,13455,13963,11312,57996,33229,19266,5875,10563,15,147,15173,15149
01-03-2023,Goa,30,South Goa,552,287,267,121,15381,0,640,429,711,718,1884,13622,19835,1917,12311,1311,40350,293,1759,2242,1879,7682,4044,1802,2345,2664,7,33,3203,3203
01-04-2023,Uttar Pradesh,9,Amroha,154,148,199,157,147302,0,1411,713,1387,1430,8567,38902,72959,1936,37395,1507,148325,3590,1793,311,595,2717,329,18,11474,16423,7,47,79449,78361
01-03-2023,Lakshadweep,31,Lakshadweep District,553,8,8,6,4718,0,31,0,70,73,305,1901,3398,0,1893,8,6279,362,129,2,75,206,2,0,284,391,9,9,0,0
01-05-2023,Nagaland,13,Dimapur,244,7,22,40,259,0,402,109,523,525,360,7121,3952,761,6477,644,11959,15,1596,289,598,2776,582,293,267,259,6,21,15,3
01-07-2023,Madhya Pradesh,23,Sidhi,433,80,283,281,122303,0,1902,1801,1890,0,4946,64085,51976,25605,63833,252,136597,26,10318,14081,12524,61013,38171,24090,5689,9901,7,73,35275,12507
01-07-2023,Gujarat,24,Gir Somnath,675,1085,1061,676,83890,0,1166,1158,1166,0,5546,29649,38313,26521,28923,726,86716,14352,1177,1469,1221,30380,27982,26513,5528,7680,8,47,48565,48426
01-06-2023,West Bengal,19,Jalpaiguri,314,422,518,821,211938,0,3933,3769,3453,3940,9682,97610,80916,50025,95444,2166,213934,787,8970,11370,7430,77309,60909,49539,10285,15441,16,169,65934,47386
01-07-2023,Bihar,10,Jehanabad,199,839,920,635,99590,0,1272,1058,1250,0,1917,53778,40308,20822,53159,619,104358,8,6989,11602,8017,47167,32161,20559,2534,5821,7,70,33714,33554
01-05-2023,Bihar,10,Aurangabad,189,1407,1408,1381,196083,0,2483,1756,2519,2735,4327,110035,75372,37456,108883,1152,203592,190,19156,17448,17813,89550,52581,35133,4976,8882,11,150,18790,17653
01-07-2023,Karnataka,29,Gadag,537,242,340,293,80412,0,1166,1022,1100,0,2456,35709,34708,13147,35355,354,83144,17,6215,8033,6252,33415,20948,12915,3280,6991,5,45,25760,25673
01-05-2023,Kerala,32,Idukki,556,599,892,766,60849,0,1537,1158,1560,1561,3194,29045,25072,3624,19959,9086,64912,1112,4425,4511,4122,16501,7954,3443,3574,4027,13,55,9902,9604
01-02-2023,Karnataka,29,Chikkamagaluru,532,625,715,693,59401,0,1812,1007,1825,1825,3743,23809,26852,3705,23526,283,63733,457,4115,8163,5407,21091,11569,3406,4010,5319,7,65,3650,3621
01-07-2023,Bihar,10,Bhojpur,193,1857,2106,479,239166,0,2937,2224,2967,0,5486,131060,95062,37437,129168,1892,253110,9,22365,26925,22459,108246,63422,36497,7756,13746,15,116,65014,64872
01-07-2023,Andhra Pradesh,28,Krishna,510,835,919,935,171436,0,3800,1693,3781,0,4354,91000,82094,6826,69645,21355,195988,2220,17089,12362,11407,47499,19003,6641,6238,12302,21,151,21985,21961
01-07-2023,Tamil Nadu,33,The Nilgiris,587,469,461,433,26511,0,485,482,390,0,1413,9890,11723,2416,6386,3504,26672,0,1012,1297,731,5422,3679,2382,1408,2238,4,20,12546,12543
01-03-2023,Madhya Pradesh,23,Ashoknagar,391,67,58,110,71207,0,935,460,1077,1089,822,42804,33116,3733,42799,5,79209,566,9386,3609,6883,22608,6339,2730,932,1535,5,37,52,30
01-02-2023,Punjab,3,Sangrur,43,11,10,10,37153,0,494,0,1951,1966,1656,25530,37279,0,24765,765,69011,637,15,0,0,15,0,0,2092,2454,10,73,0,0
01-04-2023,Mizoram,15,Serchhip,268,120,150,154,6937,0,160,46,160,160,394,3147,2661,197,3112,35,7068,525,927,719,982,2822,913,194,389,477,2,9,1876,985
01-02-2023,Tripura,16,Sepahijala,653,960,989,1113,46581,0,1254,793,1283,1283,2722,22902,18986,7301,22824,78,50475,194,3132,5821,3970,19581,12479,6658,2701,3164,6,55,8083,7760
01-04-2023,Uttar Pradesh,9,Ambedkar Nagar,121,1013,1184,1275,267116,0,2548,1792,2534,2553,11479,116913,106866,5080,114191,2722,268533,5765,3772,469,1539,5789,478,9,13503,19772,10,98,113758,113460
01-03-2023,Jharkhand,20,Palamu,338,978,1192,952,175105,0,2464,1536,2537,2595,9596,117967,109756,17666,116631,1336,264348,598,26185,22386,27378,91979,38416,16030,11761,15268,14,81,33354,32889
01-06-2023,Bihar,10,Vaishali,224,2807,2578,573,341420,0,3785,2996,3839,3883,7770,184125,134295,51031,182331,1794,352182,179,30780,36123,31809,147961,85372,49249,9750,16242,17,144,79687,79219
01-05-2023,Chhattisgarh,22,Mohla Manpur Ambagarh Chouki,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-07-2023,West Bengal,19,Howrah,313,757,776,875,355747,0,4473,4111,4196,0,15340,172269,138551,87906,162813,9456,366991,2505,14080,27420,13513,141926,114333,86913,15141,25690,22,198,153736,124981
01-06-2023,Andhra Pradesh,28,Alluri Sitharama Raju,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03-2023,Maharashtra,27,Hingoli,477,203,242,195,101001,0,1140,420,1185,1196,4477,48391,40456,7584,43849,4542,105821,219,11434,8533,9017,36329,15878,7345,5705,6792,7,43,25904,25859
01-07-2023,Gujarat,24,Amreli,439,1564,1455,1242,86141,0,1613,1596,1611,0,4971,33573,36668,25533,29840,3733,87726,28133,1481,2525,1459,30954,28014,25489,4942,7572,13,64,48484,48386
01-05-2023,Karnataka,29,Mysuru,545,801,884,832,122467,0,2857,869,2806,2860,3095,50539,59049,4555,50370,169,122890,952,10910,5364,22363,46297,13024,7660,4059,6148,9,107,50609,49948
01-03-2023,Madhya Pradesh,23,Satna,426,170,192,157,170074,0,2683,13,3024,3034,2906,95811,75921,108,95733,78,183236,915,28601,204,25938,54799,260,56,3723,4875,14,109,1494,254
01-04-2023,Gujarat,24,Gandhinagar,446,1052,1015,932,89985,0,1062,1053,1046,1062,5524,36389,37134,20606,36239,150,91311,266,3715,6846,4621,35482,27146,20300,5537,6727,8,43,47796,47677
01-05-2023,Uttar Pradesh,9,Kaushambi,158,816,941,672,205892,0,1748,835,1741,1775,7015,62049,105385,4630,61368,681,210005,259,2360,202,558,3304,386,184,11412,24144,9,53,72594,72002
01-02-2023,Rajasthan,8,Jodhpur,107,445,505,902,211172,0,2496,1837,2532,2532,11707,84465,89404,13141,80030,4435,213619,2094,20832,15066,16851,64729,27046,11980,14523,13520,12,105,20178,19947
01-04-2023,West Bengal,19,Purulia,321,321,302,846,319111,0,4912,3788,4673,4945,16618,145677,129226,75476,135307,10370,333583,30696,10555,27606,11934,122801,100312,72706,17453,24609,23,224,137402,98751
01-06-2023,Karnataka,29,Chitradurga,533,458,734,1148,104451,0,2321,1683,2314,2324,3336,42872,50323,7663,41783,1089,108067,1714,13223,10131,10196,40171,16752,6621,4432,7104,7,88,17087,17034
01-02-2023,Uttar Pradesh,9,Pilibhit,173,450,667,573,229785,0,1947,1292,1943,1960,13338,90746,95422,5067,89051,1695,232803,239,4431,548,1239,6337,667,119,15577,17720,8,66,108655,108005
01-04-2023,Madhya Pradesh,23,Narsinghpur,418,141,176,189,76590,0,1024,11,1190,1192,1052,43841,34120,14,43810,31,82715,2040,11858,2629,6341,20836,2637,8,1388,2314,6,44,60,5
01-02-2023,Mizoram,15,Kolasib,263,48,56,55,5349,0,128,14,137,137,373,4699,3942,44,4644,55,9895,52,1578,652,719,2985,688,36,339,542,2,6,1490,1368
01-06-2023,Chhattisgarh,22,Surguja,389,473,1397,1307,87941,0,2428,1303,2452,2468,4183,43534,41110,10734,43329,205,99341,4,7877,11833,12035,42172,22260,10427,4354,6160,9,69,29412,26167
01-03-2023,Rajasthan,8,Hanumangarh,101,614,715,837,108557,0,1243,885,1246,1248,8522,31682,56228,1475,31315,367,115550,777,8672,2931,5723,18011,3616,685,9480,9638,7,44,24777,24727
01-04-2023,Arunachal Pradesh,12,East Kameng,231,2,0,2,188,0,111,44,140,417,97,1395,823,424,1313,82,2457,0,265,203,288,939,386,183,69,73,6,15,0,0
01-04-2023,Manipur,14,Noney,714,35,74,39,2401,0,152,29,182,182,192,2572,1809,228,2361,211,4852,45,756,334,414,1583,413,79,131,148,2,6,244,174
01-04-2023,Madhya Pradesh,23,Betul,394,197,295,297,125544,0,2116,602,2321,2347,2262,67611,56009,2695,67244,367,133184,1775,17644,11076,12190,43391,13557,2481,3008,4294,12,90,1088,489
01-07-2023,Odisha,21,Ganjam,354,1484,2074,2372,364505,0,5161,4960,5139,0,12784,154943,152096,101765,153411,1532,367102,178,12492,21449,11863,146631,122276,100827,16427,30852,24,210,100986,100525
01-03-2023,Madhya Pradesh,23,Khargone,414,241,273,271,177452,0,1900,391,2284,2294,3290,94542,77703,2281,94475,67,184798,900,20520,9250,14482,46140,11138,1888,3933,5330,11,82,555,103
01-04-2023,Haryana,6,Panipat,71,440,570,378,69404,0,1034,614,1027,1048,3208,44880,34523,3613,39845,5035,94237,23397,6499,3771,3962,17712,7251,3480,5208,6418,6,42,7902,6733
01-02-2023,Tamil Nadu,33,Tiruppur,634,1108,1272,1193,127812,0,1512,1250,1299,1512,9234,49331,54799,6932,38067,11264,132849,346,5500,8836,4646,25721,15575,6739,9289,10196,14,43,66267,49498
01-02-2023,Arunachal Pradesh,12,Anjaw,628,0,0,0,11,0,8,1,34,211,4,203,151,9,202,1,371,0,16,9,16,48,16,7,3,10,4,10,0,0
01-03-2023,Assam,18,Darrang,283,40,30,92,115509,0,2134,985,2162,2163,7048,58442,49546,6082,57905,537,127745,2198,12227,6757,9476,32567,10864,4107,6565,6144,6,96,5787,5763
01-07-2023,Odisha,21,Khordha,362,733,799,1131,158861,0,2554,2472,2534,0,7385,67673,63791,34064,66864,809,160181,74,6115,6741,4590,51147,40442,33701,7771,13561,13,102,18393,18348
01-02-2023,Bihar,10,Patna,212,4005,3868,924,437295,0,4965,2033,5213,5262,11070,226514,173151,30391,225216,1298,446400,692,45930,53583,44331,172135,81874,28291,14076,21589,23,198,63186,62879
01-03-2023,Karnataka,29,Bengaluru Rural,526,352,479,410,51206,0,1227,1064,1225,1229,1478,21439,28538,13109,20934,505,56447,837,1839,3450,2270,20364,16255,12805,1792,3200,4,43,1998,1995
01-02-2023,Maharashtra,27,Amravati,468,2261,2122,2091,204968,0,1305,5,3180,3189,13110,99227,80383,30,92298,6929,219401,396,6593,1107,5386,13116,1137,30,13731,12950,17,123,10332,10327
01-04-2023,Delhi,7,North,80,1439,1504,3,103318,0,1529,210,1439,1529,8360,25227,54391,263,24772,455,105230,3380,2706,21480,2610,27043,21727,247,8365,8887,13,59,67971,2655
01-02-2023,Mizoram,15,Lunglei,265,21,61,62,9970,0,332,61,418,418,491,7648,5873,322,7583,65,15088,31,1451,747,1011,3431,969,222,473,603,4,16,1566,946
01-02-2023,Jharkhand,20,Ramgarh,607,341,539,393,26451,0,1009,521,1040,1041,2848,31040,30055,4266,30472,568,72030,772,6469,7105,6432,23936,11035,3930,2991,5096,7,41,2789,2781
01-05-2023,Maharashtra,27,Parbhani,489,1007,1110,1292,112213,0,1517,677,1824,1841,4212,61716,48014,12371,57344,4372,126739,313,11252,7470,8250,40582,21080,13610,5163,7634,12,69,21175,21111
01-02-2023,Andhra Pradesh,28,Kurnool,511,145,156,113,261438,0,3470,873,3539,3551,7985,118332,128286,8942,117171,1161,284108,29618,26651,19297,20451,74829,27727,8430,10999,18506,17,142,16322,15907
01-02-2023,Tamil Nadu,33,Coimbatore,569,1624,1561,1549,126853,0,1697,1548,1487,1697,10557,29934,67240,10884,25186,4748,130964,3653,2018,9560,2490,24812,20304,10744,10679,12554,18,48,84166,83945
01-02-2023,Assam,18,Karbi Anglong,292,72,45,186,66770,0,2199,210,2218,2218,4196,42425,28255,1186,41110,1315,81035,373,11505,6664,10123,29191,7563,899,3354,2805,7,78,337,230
01-03-2023,Bihar,10,Gaya,196,2242,2168,2159,366610,0,4426,1097,4553,4611,5564,202956,145826,14462,202284,672,372233,1093,37543,17447,21148,88941,30250,12803,6296,11591,25,172,21110,20883
01-02-2023,Tamil Nadu,33,Salem,584,2066,1864,1914,226354,0,2696,2509,2266,2696,16948,78364,102012,32087,60825,17539,233035,541,5969,9333,4315,51180,40896,31563,17046,18665,22,90,128418,127664
01-02-2023,Gujarat,24,Dang,444,426,414,425,26912,0,441,358,431,441,1945,11477,11421,6221,11468,9,28733,6,899,2727,1303,11083,8881,6154,1918,1972,3,18,13910,13849
01-02-2023,Himachal Pradesh,2,Lahul And Spiti,21,43,35,51,501,0,111,25,123,123,65,623,628,93,606,17,1465,12,263,42,67,439,109,67,66,83,2,8,101,69
01-04-2023,Andhra Pradesh,28,Guntur,506,1020,1204,549,236410,0,4397,2000,4386,4415,6645,112429,116203,13330,104692,7737,259929,38414,20595,23768,17452,74625,36578,12810,9329,15323,23,177,40952,40628
01-06-2023,Assam,18,Kokrajhar,294,76,54,166,79216,0,1681,1331,1657,1687,3735,41881,32064,8915,38690,3191,85280,212,9553,7891,8391,31608,13664,5773,3207,4393,5,76,2229,2017
01-04-2023,Karnataka,29,Shivamogga,547,482,589,518,89096,0,2328,1279,2438,2439,2910,43085,41437,5140,42709,376,97898,3607,9753,9829,9749,34157,14655,4826,4033,6433,7,85,16155,16021
01-02-2023,Haryana,6,Charki Dadri,701,436,522,355,41161,0,634,562,612,634,2837,19528,15882,2491,11996,7532,44284,49,1424,1763,1089,6681,4168,2405,3277,2760,3,24,15608,10074
01-05-2023,Uttar Pradesh,9,Varanasi,187,887,887,726,384014,0,3909,2961,3810,3933,18618,136865,180946,16429,134289,2576,390152,877,3743,317,790,4930,397,80,20630,33093,9,142,112530,111403
01-05-2023,Uttar Pradesh,9,Etah,138,1064,1197,1292,254009,0,1863,975,1835,1864,13149,89115,109444,1303,88304,811,257677,135,2065,140,772,2990,153,13,16562,29407,9,83,127955,127572
01-03-2023,Uttar Pradesh,9,Banda,128,94,118,126,178156,0,1658,791,1683,1705,8696,64168,84394,2753,62995,1173,180665,441,2672,155,787,3683,224,69,9842,13565,9,64,61163,60556
01-04-2023,Uttar Pradesh,9,Maharajganj,164,604,860,888,323880,0,3113,1917,3120,3156,13277,130767,140785,7932,128088,2679,326485,656,4540,508,1522,6796,734,226,17026,24630,13,113,67323,66475
01-07-2023,Telangana,36,Medchal Malkajgiri,700,619,666,224,130675,0,793,773,750,0,6109,48875,63454,2990,46708,2167,133387,0,7101,2891,3115,16010,5794,2903,5844,9105,3,32,49252,45735
01-05-2023,Punjab,3,Sri Muktsar Sahib,39,50,61,115,50278,0,804,35,860,894,2967,19437,22742,22,14300,5137,52729,60,336,6,75,439,28,22,3191,4392,4,33,9,9
01-03-2023,Manipur,14,Ukhrul,260,56,55,88,13862,0,638,265,651,651,557,8440,6249,2458,8227,213,16213,23,2116,1105,1602,5940,2222,1117,517,450,3,20,1980,1277
01-05-2023,Madhya Pradesh,23,Dewas,402,529,577,783,136777,0,1855,1761,1838,1860,7097,70729,58149,18259,70219,510,154582,134,18572,9089,13151,57821,26098,17009,8023,10584,9,82,19318,11829
01-07-2023,Manipur,14,Kamjong,717,10,13,17,4541,0,3,0,395,0,89,3393,2135,0,3179,214,5814,7,4,0,0,4,0,0,75,122,3,11,0,0
01-05-2023,Uttar Pradesh,9,Jhansi,153,739,843,701,140930,0,1365,668,1361,1379,4609,60028,57209,3006,59645,383,143131,907,2307,458,487,3316,522,64,7367,13918,9,93,36691,36320
01-05-2023,Jharkhand,20,Dumka,326,809,1049,1171,145288,0,2056,1925,2048,2060,6037,81196,64853,40854,76806,4390,168022,54,9598,13330,10196,72468,52674,39344,5797,10139,10,72,27764,27551
01-03-2023,Jammu And Kashmir,1,Kupwara,8,1991,1953,165,71824,0,2274,1859,2304,2319,2849,36658,27742,22939,36113,545,74672,4612,5251,2157,3252,15314,6811,4654,3433,3990,11,92,986,681
01-04-2023,Rajasthan,8,Rajsamand,112,134,218,369,75132,0,1148,758,1162,1167,4025,26776,37149,2649,26564,212,80256,5792,7588,4433,6158,20535,6789,2356,5533,6773,7,40,7481,7439
01-03-2023,Jammu And Kashmir,1,Poonch,10,1165,1149,90,41608,0,1403,1269,1398,1416,2464,17505,16554,14146,17412,93,42383,673,612,3090,1011,17827,16204,13114,2841,3019,6,54,14199,13569
01-06-2023,West Bengal,19,Medinipur East,317,670,829,899,482442,0,6258,5839,5129,6343,22360,217416,191099,135172,205816,11600,490159,14727,12961,25034,15422,185592,157209,132175,22290,36994,30,250,170151,146531
01-07-2023,Arunachal Pradesh,12,East Siang,232,8,2,13,1077,0,123,82,162,0,76,1113,1080,423,922,191,2438,51,180,121,184,789,425,304,80,89,3,6,157,95
01-05-2023,Assam,18,Dima Hasao,299,7,5,12,13081,0,591,82,613,613,527,8560,5790,457,7813,747,15759,72,2972,368,1025,4642,645,277,411,471,5,17,1661,1603
01-06-2023,Telangana,36,Mulugu,720,155,170,458,20177,0,635,523,597,640,954,8288,9114,2900,8057,231,21390,11,1225,1735,1322,6995,4448,2713,1047,1987,4,27,6981,6347
01-03-2023,Rajasthan,8,Alwar,87,439,619,1073,272144,0,3390,2116,3437,3449,16219,96563,137692,9385,88811,7752,292659,7843,21669,9778,14659,53685,17357,7579,19889,22296,15,124,28598,28552
01-05-2023,Karnataka,29,Mandya,544,635,723,686,87602,0,2546,524,2464,2546,4598,30745,42470,894,30660,85,87928,1984,4306,2063,23477,30719,2936,873,4689,5426,8,89,2062,1980
01-06-2023,Rajasthan,8,Churu,96,486,584,637,129837,0,1664,1291,1668,1677,7062,40929,68875,10418,39796,1133,138029,772,9039,7757,7913,34084,17132,9375,8674,12489,9,64,46874,46761
01-05-2023,Odisha,21,Sonepur,372,167,186,512,56741,0,1556,1456,1542,1556,2932,24349,22424,15486,23242,1107,57305,261,1851,3160,1766,21981,18364,15204,3186,4414,6,57,1101,1078
01-04-2023,Telangana,36,Sangareddy,691,926,635,613,104216,0,1503,1373,1495,1505,4373,43694,44094,15295,42964,730,106230,466,5112,6120,3784,29875,20979,14859,5339,8730,5,60,52239,51153
01-07-2023,Uttarakhand,5,Pauri Garhwal,52,707,801,514,29918,0,1825,1087,1828,0,1682,7287,17520,565,7104,183,30948,37,1239,1293,1563,4476,1674,381,1834,2625,15,43,3674,3670
01-02-2023,Jammu And Kashmir,1,Anantnag,1,1776,1778,211,69211,0,2197,1834,2205,2210,2197,33612,25940,22797,33375,237,69695,2324,5979,5794,5981,29322,17362,11568,3665,4281,8,89,6281,5468
01-06-2023,Telangana,36,Jangoan,689,273,215,194,31342,0,694,631,682,695,1849,12357,13932,3556,11367,990,32805,17,1460,1643,1572,8029,4997,3354,1891,2776,3,27,13427,11411
01-04-2023,Kerala,32,Kasaragod,558,534,707,637,97925,0,1342,2,1348,1348,4956,51426,36745,0,38138,13288,105316,164,9042,2745,9065,20852,2745,0,5602,6587,12,41,5476,5470
01-05-2023,Maharashtra,27,Palghar,665,952,1109,1399,200154,0,3026,1612,3160,3183,7772,101757,79804,17450,100725,1032,206981,60,20073,12778,15449,65198,29676,16898,8386,9262,13,104,36540,36525
01-03-2023,Tamil Nadu,33,Vellore,595,605,802,856,81350,0,1075,739,771,1075,5591,24792,41158,9743,20627,4165,85099,646,2542,3629,3242,19064,13280,9651,6056,7502,8,35,29609,28161
01-02-2023,Andhra Pradesh,28,Kakinada,746,1144,1347,603,215849,0,4394,2142,0,0,5040,108189,106821,13163,97521,10668,0,3317,24105,16288,15767,69036,29164,12876,7456,14830,0,0,31268,31051
01-04-2023,Punjab,3,Ludhiana,36,9,8,6,77373,0,2106,3,2353,2487,4967,40327,52529,0,36767,3560,113010,993,1114,0,57,1171,0,0,6932,8255,16,93,0,0
01-04-2023,Uttar Pradesh,9,Sitapur,183,164,163,206,621293,0,4138,1889,4123,4235,27858,225795,282669,6363,222064,3731,628005,1114,4931,293,1082,6377,364,71,35331,56352,20,143,198092,196716
01-03-2023,Uttar Pradesh,9,Lalitpur,161,130,183,175,144265,0,1122,403,1119,1126,5124,59675,60943,1311,59517,158,146060,274,2915,254,359,3626,352,98,8629,11689,7,41,55893,55726
01-05-2023,Jharkhand,20,Ranchi,339,570,830,1497,177933,0,2825,2441,2796,2830,10237,87979,95541,32945,84262,3717,218582,1092,16744,16493,16718,81682,48220,31727,10469,14356,16,95,20594,20354
01-02-2023,Madhya Pradesh,23,Raisen,421,106,130,132,113479,0,1344,371,1852,1858,1866,60454,49929,3212,60442,12,118771,1959,14505,5622,6279,29152,8368,2746,2223,4299,7,61,380,55
01-03-2023,Chhattisgarh,22,Rajnandgaon,388,1099,1484,1514,122854,0,2056,9,2971,3000,2935,67436,54146,22,67316,120,132615,424,13717,5491,13861,33090,5512,21,3930,4168,12,98,7301,6543
01-06-2023,Rajasthan,8,Pali,111,372,600,939,140509,0,1814,1352,1816,1834,7222,48532,71508,2627,46260,2272,151928,1311,13858,8182,12406,36774,10510,2328,9880,14786,10,66,13196,13023
01-03-2023,Jammu And Kashmir,1,Bandipora,623,466,433,35,23400,0,756,525,789,810,891,11547,10788,5847,11031,516,26272,461,2413,1739,1456,9039,5170,3431,1385,1661,4,29,1725,1081
01-04-2023,Rajasthan,8,Bhilwara,92,333,352,705,165588,0,2090,1385,2185,2214,10996,59489,85817,6571,57900,1589,185969,5438,13189,7539,10521,36234,12524,4985,13464,16203,12,74,20650,20594
01-07-2023,Odisha,21,Sonepur,372,179,190,523,56110,0,1556,1484,1543,0,2751,23743,22517,15327,22545,1198,56626,96,1311,3674,1538,21557,18708,15034,2835,4780,6,57,1852,1852
01-06-2023,Uttar Pradesh,9,Fatehpur,142,1212,1160,1263,338256,0,2893,2063,2823,2909,12844,136774,145893,5921,135303,1471,340718,173,1889,284,568,2828,371,87,15119,30088,14,107,138496,137947
01-06-2023,Haryana,6,Nuh,604,397,584,557,55990,0,1035,404,1050,1150,1105,69650,42934,972,68339,1311,123021,1587,19563,1563,11252,33288,2473,910,2950,6382,7,45,3708,3228
01-04-2023,Madhya Pradesh,23,Raisen,421,107,132,133,109646,0,1632,536,1851,1858,1586,61218,47839,4010,61192,26,116279,1899,16110,9375,9714,38909,13085,3710,2213,3423,7,61,205,98
01-03-2023,Maharashtra,27,Jalna,479,853,1244,1288,163572,0,2087,908,2155,2174,8280,83050,68891,16314,81497,1553,180532,1056,18907,15543,15687,65771,31177,15634,9268,11043,13,76,45241,44955
01-03-2023,Odisha,21,Balangir,345,832,617,1479,169016,0,2767,2333,2764,2775,7384,80960,65984,43113,80762,198,173146,1521,9387,11189,8644,70808,52777,41588,7756,11062,14,116,3718,3559
01-05-2023,Madhya Pradesh,23,Katni,413,385,574,817,133133,0,1712,1647,1696,1712,7483,63823,53257,17008,63210,613,142619,226,15760,8766,11860,52117,24497,15731,7770,10286,7,63,37919,15124
01-03-2023,Jharkhand,20,Jamtara,333,289,487,463,43257,0,1112,498,1189,1189,3107,43804,35896,5347,42581,1223,91806,460,8867,5596,6769,26105,10469,4873,3713,5286,7,39,1850,1843
01-03-2023,Haryana,6,Sirsa,74,805,871,914,70733,0,1363,1017,1197,1377,4097,41510,32976,7474,38607,2903,89439,252,6098,3581,3611,20628,10919,7338,5532,5324,8,54,17051,10057
01-02-2023,Gujarat,24,Kachchh,449,2098,2080,1631,154294,0,2100,1721,2116,2116,10737,61545,60544,39161,61477,68,155108,42,3148,14576,6517,63182,53517,38941,10742,11540,19,84,80335,80175
01-02-2023,Tamil Nadu,33,Mayiladuthurai,735,403,481,587,44312,0,691,405,557,692,3357,13651,22542,5067,13198,453,47162,400,1441,4234,2231,12813,9141,4907,3424,4188,5,20,25293,25224
01-06-2023,Punjab,3,Mansa,37,4,7,16,40617,0,657,4,823,840,2597,9786,22113,0,7930,1856,41090,0,470,4,20,494,4,0,2632,3962,5,33,951,939
01-06-2023,Madhya Pradesh,23,Raisen,421,127,164,331,119836,0,1858,1700,1850,1858,5196,60943,49652,23419,60584,359,131056,144,9990,13620,11761,57771,36020,22400,5881,9384,7,61,29833,14200
01-03-2023,Odisha,21,Kendujhar,361,938,832,1740,195105,0,3339,2484,3343,3351,8857,93804,78058,49116,93485,319,203918,1126,10514,19836,11411,88628,66703,46867,9062,14137,14,123,15340,15207
01-02-2023,Chhattisgarh,22,Khairgarh Chhuikhadan Gandai,759,620,903,1029,59280,0,2128,1598,0,0,3378,27626,26108,11923,27034,592,0,9,6025,5849,5211,28531,17295,11446,3485,5714,0,0,23357,22120
01-06-2023,Tamil Nadu,33,Ariyalur,610,533,549,575,57852,0,774,634,670,774,3078,24195,25309,5395,19096,5099,60861,3,3297,3975,3153,15790,9340,5365,3310,4969,6,22,22368,22311
01-03-2023,Karnataka,29,Kolar,542,1051,1268,855,86625,0,2057,1706,2060,2062,3284,35768,48165,17679,35574,194,96554,765,4663,6719,4875,33537,23999,17280,3878,5459,6,79,8315,8281
